year,importer1,importer2,flow1,flow2
,Station15,Station4,343202,329696
,Station15,Station5,254735,248319
,Station15,Station6,367637,361312
,Station15,Station7,429228,371793
,Station15,Station8,671488,554413
,Station15,Station9,811896,710142
,Station15,Station10,512798,458770
,Station15,Station11,734384,622973
,Station15,Station12,316362,233129
,Station15,Station13,201762,144365
,Station15,Station14,191291,178881
,Station15,Station15,313897,313897
,Station15,Station16,49897,48743
,Station15,Station17,83830,83258
,Station15,Station18,234899,256122
,Station15,Station19,6677,7239
,Station15,Station20,176379,155414
,Station16,Station1,124956,142385
,Station16,Station2,85639,97636
,Station16,Station3,238447,215201
,Station16,Station4,272560,269683
,Station16,Station5,145563,144105
,Station16,Station6,384029,397234
,Station16,Station7,405398,370527
,Station16,Station8,578546,471271
,Station16,Station9,612510,521214
,Station16,Station10,305885,272457
,Station16,Station11,652773,575829
,Station16,Station12,338825,252384
,Station16,Station13,204288,157408
,Station16,Station14,144176,126149
,Station16,Station15,48743,49897
,Station16,Station16,267124,267124
,Station16,Station17,49672,45831
,Station16,Station18,189461,203681
,Station16,Station19,4537,4571
,Station16,Station20,91216,85294
,Station17,Station1,216558,257175
,Station17,Station2,125055,147721
,Station17,Station3,305239,280450
,Station17,Station4,322791,339400
,Station17,Station5,183838,189761
,Station17,Station6,219064,246388
,Station17,Station7,456326,434710
,Station17,Station8,844091,729931
,Station17,Station9,1066068,1016781
,Station17,Station10,369529,357755
,Station17,Station11,788949,754713
,Station17,Station12,283894,248579
,Station17,Station13,267437,235459
,Station17,Station14,225121,222805
,Station17,Station15,83258,83830
,Station17,Station16,45831,49672
,Station17,Station17,298689,298689
,Station17,Station18,73709,94287
,Station17,Station19,7469,9679
,Station17,Station20,110821,104396
,Station18,Station1,534223,687256
,Station18,Station2,244153,261080
,Station18,Station3,540811,492105
,Station18,Station4,537500,537587
,Station18,Station5,286806,284099
,Station18,Station6,482736,515962
,Station18,Station7,677163,651022
,Station18,Station8,2461478,1888608
,Station18,Station9,1736851,1979373
,Station18,Station10,481511,487259
,Station18,Station11,1760296,1641930
,Station18,Station12,679828,627882
,Station18,Station13,467960,467290
,Station18,Station14,414412,386202
,Station18,Station15,256122,234899
,Station18,Station16,203681,189461
,Station18,Station17,94287,73709
,Station18,Station18,353220,353220
,Station18,Station19,15034,19104
,Station18,Station20,643171,631441
,Station19,Station1,4488,6997
,Station19,Station2,3218,3918
,Station19,Station3,5673,6463
,Station19,Station4,7125,8441
,Station19,Station5,4535,5337
,Station19,Station6,5130,6887
,Station19,Station7,11253,11270
,Station19,Station8,19333,19440
,Station19,Station9,20941,24108
,Station19,Station10,7048,6525
,Station19,Station11,19227,20458
,Station19,Station12,8604,7574
,Station19,Station13,6144,6437
,Station19,Station14,6159,5593
,Station19,Station15,7239,6677
,Station19,Station16,4571,4537
,Station19,Station17,9679,7469
,Station19,Station18,19104,15034
,Station19,Station19,69794,69794
,Station19,Station20,39878,19995
,Station20,Station1,363123,400364
,Station20,Station2,138848,125875
,Station20,Station3,390258,270043
,Station20,Station4,366487,328084
,Station20,Station5,224432,193253
,Station20,Station6,320649,304576
,Station20,Station7,630290,543304
,Station20,Station8,2059469,1766036
,Station20,Station9,2583908,2817325
,Station20,Station10,694940,729742
,Station20,Station11,1182981,1096926
,Station20,Station12,528644,496203
,Station20,Station13,268318,301312
,Station20,Station14,367731,386767
,Station20,Station15,155414,176379
,Station20,Station16,85294,91216
,Station20,Station17,104396,110821
,Station20,Station18,631441,643171
,Station20,Station19,19995,39878
,Station20,Station20,366292,366292
